[02/18/22 23:19:20] [INFO] received Windows console close event; shutting log-core down
[02/19/22 11:18:21] [INFO] received Windows console close event; shutting log-core down
[02/19/22 16:59:56] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/19/22 18:00:45] [INFO] received Windows console close event; shutting log-core down
[02/19/22 23:31:26] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/19/22 23:32:59] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/19/22 23:35:25] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/21/22 21:48:10] [INFO] received Windows console close event; shutting log-core down
[02/22/22 16:59:06] [INFO] received Windows console close event; shutting log-core down
[02/23/22 00:04:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 01:14:26] [INFO] received Windows console close event; shutting log-core down
[02/23/22 18:10:10] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 18:26:47] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 18:43:25] [INFO] received Windows console close event; shutting log-core down
[02/23/22 18:43:25] [INFO] received Windows console close event; shutting log-core down
[02/23/22 19:05:49] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 19:17:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 19:27:05] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 19:44:14] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/23/22 19:45:26] [INFO] received Windows console close event; shutting log-core down
[02/23/22 22:50:22] [INFO] received Windows console close event; shutting log-core down
[02/23/22 22:50:47] [INFO] received Windows console close event; shutting log-core down
[02/24/22 11:04:17] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/24/22 11:12:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/24/22 11:13:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/24/22 11:17:40] [INFO] received Windows console close event; shutting log-core down
[02/24/22 16:17:02] [INFO] received Windows console close event; shutting log-core down
[02/24/22 16:17:02] [INFO] received Windows console close event; shutting log-core down
[02/26/22 15:48:01] [INFO] received Windows console close event; shutting log-core down
[02/26/22 21:11:41] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/26/22 21:35:01] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/26/22 21:50:43] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/26/22 22:09:39] [INFO] received Windows console close event; shutting log-core down
[02/27/22 14:18:30] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 15:05:34] [INFO] received Windows console close event; shutting log-core down
[02/27/22 15:05:34] [INFO] received Windows console close event; shutting log-core down
[02/27/22 16:36:01] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 17:28:08] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 17:37:58] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 17:41:27] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 17:41:36] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 17:57:09] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[02/27/22 18:23:46] [INFO] received Windows console close event; shutting log-core down
[02/27/22 18:23:46] [INFO] received Windows console close event; shutting log-core down
[03/21/22 16:34:26] [INFO] received Windows console close event; shutting log-core down
[03/22/22 11:39:04] [INFO] received Windows console close event; shutting log-core down
[03/22/22 23:16:56] [INFO] received Windows console close event; shutting log-core down
[03/26/22 15:45:42] [INFO] received Windows console close event; shutting log-core down
[03/27/22 15:46:12] [INFO] received Windows console close event; shutting log-core down
[03/28/22 21:25:22] [INFO] received Windows console close event; shutting log-core down
[06/19/22 17:32:32] [INFO] received Windows console close event; shutting log-core down
[06/19/22 17:49:58] [INFO] received Windows console close event; shutting log-core down
[06/26/22 16:13:37] [INFO] received Windows console close event; shutting log-core down
[06/27/22 11:22:10] [INFO] received Windows console close event; shutting log-core down
